datetime,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,BOP,CCI,CMO,DX,MACD,MFI,PPO,ROCP,RSI,STOCHslowk,STOCHslowd,STOCHRSIfastk,STOCHRSIfastd,TRIX,TRIX,1day,2day,3day,4day,5day
2015-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012320328542094527,-0.010951403148528382,-0.01848049281314157,-0.000684462696783017,0.031485284052019225
2015-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02298850574712652,-0.030425963488843744,-0.01284651791751179,0.01893171061528065,0.05273833671399597
2015-08-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.8000000000000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007612456747404739,0.010380622837370401,0.04290657439446388,0.07750865051903122,0.03321799307958484
2015-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612245072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018131101813110062,0.05090655509065556,0.08577405857740583,0.04114365411436527,0.03765690376569042
2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219178082191787,0.06643835616438354,0.022602739726027332,0.019178082191780854,0.023972602739726012
2015-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5846153846153866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03317850033178482,-0.009289980092899941,-0.012607830126078245,-0.007962840079628553,-0.020570670205706798
2015-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.5688073394495418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04110468850353244,-0.044315992292870754,-0.039820166987797,-0.052023121387283267,-0.08670520231213863
2015-08-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.509433962264152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033489618218350836,0.0013395847287340779,-0.011386470194239773,-0.04755525787006021,-0.028801071667782896
2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.039215686274506306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.09347029494803,66.86469747726149,0.0,0.0,0.0,0.0,0.0047043010752687575,-0.008064516129032362,-0.04435483870967749,-0.02553763440860224,-0.040322580645161366
2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.18750000000000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46404757613983,52.901997433895076,0.0,0.0,0.0,0.0,-0.012709030100334417,-0.04882943143812701,-0.030100334448160515,-0.0448160535117057,-0.06956521739130428
