index_code,name
SH000001,上证指数
SH000002,Ａ股指数
SH000003,Ｂ股指数
SH000004,工业指数
SH000005,商业指数
SH000006,地产指数
SH000007,公用指数
SH000008,综合指数
SH000010,上证180
SH000011,基金指数
SH000009,上证380
SH000012,国债指数
SH000015,红利指数
SH000016,上证50
SH000017,新综指
SH000018,180金融
SH000019,治理指数
SH000020,中型综指
SH000021,180治理
SH000022,沪公司债
SH000025,180基建
SH000026,180资源
SH000027,180运输
SH000028,180成长
SH000029,180价值
SH000030,180R成长
SH000031,180R价值
SH000032,上证能源
SH000033,上证材料
SH000034,上证工业
SH000035,上证可选
SH000036,上证消费
SH000037,上证医药
SH000038,上证金融
SH000039,上证信息
SH000040,上证电信
SH000041,上证公用
SH000042,上证央企
SH000043,超大盘
SH000044,上证中盘
SH000045,上证小盘
SH000046,上证中小
SH000047,上证全指
SH000048,责任指数
SH000049,上证民企
SH000050,50等权
SH000051,180等权
SH000052,50基本
SH000053,180基本
SH000054,上证海外
SH000055,上证地企
SH000056,上证国企
SH000057,全指成长
SH000058,全指价值
SH000059,全R成长
SH000060,全R价值
SH000061,沪企债30
SH000062,上证沪企
SH000063,上证周期
SH000064,非周期
SH000065,上证龙头
SH000066,上证商品
SH000067,上证新兴
SH000068,上证资源
SH000069,消费80
SH000070,能源等权
SH000071,材料等权
SH000072,工业等权
SH000073,可选等权
SH000074,消费等权
SH000075,医药等权
SH000076,金融等权
SH000077,信息等权
SH000078,电信等权
SH000079,公用等权
SH000090,上证流通
SH000091,沪财中小
SH000092,资源50
SH000093,180分层
SH000094,上证上游
SH000095,上证中游
SH000096,上证下游
SH000097,高端装备
SH000098,上证F200
SH000099,上证F300
SH000100,上证F500
SH000101,5年信用
SH000102,沪投资品
SH000103,沪消费品
SH000104,380能源
SH000105,380材料
SH000106,380工业
SH000107,380可选
SH000108,380消费
SH000109,380医药
SH000110,380金融
SH000111,380信息
SH000112,380电信
SH000113,380公用
SH000114,持续产业
SH000115,380等权
SH000116,信用100
SH000117,380成长
SH000118,380价值
SH000119,380R成长
SH000120,380R价值
SH000121,医药主题
SH000122,农业主题
SH000123,180动态
SH000125,180稳定
SH000126,消费50
SH000128,380基本
SH000129,180波动
SH000130,380波动
SH000131,上证高新
SH000132,上证100
SH000133,上证150
SH000134,上证银行
SH000135,180高贝
SH000136,180低贝
SH000137,380高贝
SH000138,380低贝
SH000139,上证转债
SH000141,380动态
SH000142,380稳定
SH000145,优势资源
SH000146,优势制造
SH000147,优势消费
SH000148,消费领先
SH000149,180红利
SH000150,380红利
SH000151,上国红利
SH000152,上央红利
SH000153,上民红利
SH000155,市值百强
SH000158,上证环保
SH000159,沪股通
SH000160,沪新丝路
SH000161,沪中国造
SH000162,沪互联+
SH000170,50AH优选
SH000300,沪深300
SH000682,科创信息
SH000683,科创生物
