code,name,.,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润?,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益
SZ301336,趣睡科技,--,15.80%,60.01,8.19,60.01,60.08,5190727,309465680,500↑,-0.51%,-0.51%,11.54%,0.75,51.91%,37.89,2400400000,600100000,25.00%,2984551,2206176,1.35,--,无,无,6.22,5.94,39.75,24905893,3.11,0.83,家具,家用轻工,51.82,53.8,3.82%,62.18,53.8,9.19%,4.77%,-7.52%,59.90%,16.17%,300,100,14604,--,17.98,--,40000000,10000000,32068359亿,-24.46%,19.31,0,924.12,--,--,--
SZ301319,N唯特偶,--,14.87%,54.85,7.1,54.85,54.86,8740887,496938400,54↑,0.00%,0.00%,9.70%,-4.19,62.87%,74.99,3216404000,762573240,23.71%,4861315,3879572,1.25,--,无,有,15.15,--,38.17,66845000,3.13,0.664,电子化学品,电子化学品,47.75,50,4.71%,65,50,14.87%,14.87%,14.87%,14.87%,31.41%,15214,1000,47950,--,100,--,58640000,13902885,44009637亿,5.26%,17.55,0,-4182.66,--,--,--
SZ300206,理邦仪器,--,13.40%,12.69,1.5,12.68,12.69,24393609,296318190,300↓,-0.16%,-0.16%,11.71%,4.85,7.17%,-79.01,7382050200,4320159000,58.52%,9119876,15273733,0.597,--,无,无,0.31,2.99,37.5,150429230,4.2,0.259,医疗设备,医疗器械,11.19,11.36,1.52%,12.88,11.2,19.27%,9.30%,5.57%,-8.53%,15.01%,18100,11164,40638,--,8.63,--,581721850,340438070,160901700亿,-18.70%,3.03,5,-35.26,--,--,--
SH688212,澳华内镜,--,12.21%,67.1,7.3,67.06,67.1,2067958,135477030,24818↑,0.15%,0.15%,10.96%,2.65,7.20%,25.24,8947114000,1927037000,21.54%,977143,1090815,0.896,--,无,无,-0.37,2.44,169,5067377,7.24,0.04,医疗设备,医疗器械,59.8,60.47,1.12%,68.56,59.2,16.59%,22.56%,35.42%,78.55%,15.65%,600,1638,6118,--,-10.92,--,133340000,28718882,2537593亿,-44.71%,9.26,1,58.85,--,--,--
SH688617,惠泰医疗,--,10.68%,216.93,20.94,216.93,216.96,1440631,303299080,4361↑,0.20%,0.20%,10.66%,3.26,3.25%,21.17,14462723000,9613845400,66.47%,671101,769530,0.872,--,无,无,-0.04,2.82,57.41,158872590,7.68,2.38,医疗耗材,医疗器械,195.99,196.03,0.02%,219,194.22,17.08%,8.60%,15.97%,-22.25%,12.64%,117,500,6666,0.09,-2.06,--,66670000,44317731,175840510亿,38.33%,28.25,4,312.1,--,--,--
SH688358,祥生医疗,--,10.40%,38.76,3.65,38.75,38.76,3580963,136742080,57305↑,0.34%,0.34%,8.30%,1.64,12.79%,20.36,4341120000,1085280000,25.00%,1606654,1974309,0.814,--,无,无,-0.75,3.06,30.78,75735929,3.38,0.676,医疗设备,医疗器械,35.11,35.79,1.94%,39.74,35.09,10.84%,15.39%,15.70%,20.37%,13.24%,700,446,8709,0.03,-15.77,--,112000000,28000000,88418396亿,60.52%,11.47,6,-14.68,--,--,--
SZ300653,正海生物,--,10.18%,53.14,4.91,53.13,53.14,8013547,422516870,34400↑,-0.04%,-0.04%,8.72%,0.86,4.45%,-77.82,9565200000,9565200000,100.00%,3371130,4642417,0.726,--,无,无,-0.74,3.77,49.94,104084191,12.19,0.58,医疗耗材,医疗器械,48.23,48.88,1.35%,54.88,48.54,9.77%,5.39%,7.70%,20.97%,13.15%,300,4400,22578,--,-22.63,--,180000000,180000000,121006921亿,28.36%,4.36,4,-29.58,--,--,--
SH600167,联美控股,--,10.08%,6.99,0.64,6.99,--,13452365,93774464,42148↑,0.00%,0.00%,2.79%,0.3,0.59%,100,15993955000,15993955000,100.00%,9708248,3744117,2.59,--,无,无,0.25,4.71,16.37,601532010,1.56,0.266,热力,电力,6.35,6.8,7.09%,6.99,6.75,5.91%,4.33%,-2.92%,-21.28%,3.78%,1938743,0,6907,0.09,54.63,--,2288119500,2288119500,786048910亿,-10.35%,4.47,9,-11.07,--,--,--
SZ002795,永和智控,--,10.06%,8.53,0.78,8.53,--,22623047,186270680,78340↑,0.00%,0.00%,12.09%,3.82,9.36%,100,2634507300,2062784100,78.30%,17165826,5457221,3.15,--,无,无,1.3,5.23,106.8,31499025,3.01,0.11,金属制品,通用设备,7.75,7.61,-1.81%,8.53,7.4,12.38%,6.36%,6.36%,-1.63%,14.58%,7495893,0,13145,--,16.23,--,308851970,241826970,38300953亿,23.44%,2.84,5,-120.99,--,--,--
SZ000677,恒天海龙,--,10.06%,3.61,0.33,3.61,--,49437334,171938440,238750↑,0.00%,0.00%,9.06%,4.03,5.72%,100,3118960400,3118960400,100.00%,22655273,26782061,0.846,--,有,有,1.46,3.15,40.78,30301518,7.89,0.035,涤纶,化工合成材料,3.28,3.31,0.91%,3.61,3.3,22.79%,17.21%,17.59%,10.06%,9.45%,25572377,0,12564,--,30.46,--,863977950,863977950,82520543亿,-4.16%,0.46,3,-59.21,--,--,--
